"id","name","position","team","posRank","avg","vorp","volr","price"
"12177","White, Kevin","WR","FA",238,1.7084,-8.10026666666667,-4.1456,15.9
"14533","Taylor, Malik","WR","NYJ",239,1.698,-8.11066666666667,-4.156,15.89
"15989","Jobe, Josh","CB","PHI",239,0.0243333333333333,-8.98066666666667,-7.97566666666667,9.52
"13503","Kemp, Marcus","WR","FA",240,1.6674,-8.14126666666667,-4.1866,15.86
"15932","Castro-Fields, Tariq","CB","WAS",240,0,-9.005,-8,9.49
"14848","Proche, James","WR","CLE",241,1.6348,-8.17386666666667,-4.2192,15.83
"15940","Hicks, Faion","CB","NOS",241,0,-9.005,-8,9.49
"10960","Gordon, Josh","WR","FA",242,1.5992,-8.20946666666667,-4.2548,15.79
"15949","Barnes, Kalon","CB","PIT",242,0,-9.005,-8,9.49
"13669","Turner, Malik","WR","FA",243,1.548,-8.26066666666667,-4.306,15.74
"13585","Zylstra, Brandon","WR","FA",245,1.51416666666667,-8.2945,-4.33983333333333,15.71
"15057","Chisena, Dan","WR","ARI",246,1.4538,-8.35486666666667,-4.4002,15.65
"14864","Johnson, Tyler","WR","LAR",247,1.4368,-8.37186666666667,-4.4172,15.63
"16037","Baccellia, Andre","WR","ARI",248,1.422,-8.38666666666667,-4.432,15.61
"13851","Hollister, Cody","WR","TEN",249,1.40783333333333,-8.40083333333333,-4.44616666666667,15.6
"15995","Turner, DJ","WR","LVR",250,1.406,-8.40266666666667,-4.448,15.6
"11676","Matthews, Jordan","WR","CAR",253,1.25566666666667,-8.553,-4.59833333333333,15.45
"14131","Morgan, Stanley","WR","FA",255,1.231,-8.57766666666667,-4.623,15.42
"12675","Thomas, Mike","WR","FA",256,1.23016666666667,-8.5785,-4.62383333333333,15.42
"13882","Kirkwood, Keith","WR","NOS",257,1.21833333333333,-8.59033333333333,-4.63566666666667,15.41
"15589","White, Cody","WR","SEA",258,1.15525,-8.65341666666667,-4.69875,15.35
"9200","Slater, Matt","WR","NEP",259,1.13216666666667,-8.6765,-4.72183333333333,15.32
"15407","Fitzpatrick, Dez","WR","PIT",260,1.11875,-8.68991666666667,-4.73525,15.31
"14843","Bowden, Lynn","WR","NOS",261,1.0735,-8.73516666666667,-4.7805,15.26
"15941","Young, Dareke","WR","SEA",262,1.05733333333333,-8.75133333333333,-4.79666666666667,15.25
"14969","Hightower, John","WR","FA",263,1.029,-8.77966666666667,-4.825,15.22
"14854","Victor, Binjimen","WR","FA",264,1,-8.80866666666667,-4.854,15.19
"15497","Baker, Kawaan","WR","NEP",265,1,-8.80866666666667,-4.854,15.19
"15792","Woods, Michael","WR","CLE",266,0.996,-8.81266666666667,-4.858,15.19
"14545","Moore, Jason","WR","FA",267,0.995333333333333,-8.81333333333333,-4.85866666666667,15.19
"14316","Hart, Penny","WR","FA",268,0.9774,-8.83126666666667,-4.8766,15.17
"13666","Fountain, Daurice","WR","DET",269,0.93,-8.87866666666667,-4.924,15.12
"15285","Wallace, Tylan","WR","BAL",270,0.89325,-8.91541666666667,-4.96075,15.08
"15535","Kinsey, Mason","WR","TEN",271,0.8625,-8.94616666666667,-4.9915,15.05
"13644","Wims, Javon","WR","FA",272,0.824,-8.98466666666667,-5.03,15.02
"15303","Fehoko, Simi","WR","LAC",273,0.81,-8.99866666666667,-5.044,15
"15478","Strachan, Mike","WR","CAR",274,0.734,-9.07466666666667,-5.12,14.93
"15434","Smith-Marsette, Ihmir","WR","CAR",275,0.7315,-9.07716666666667,-5.1225,14.92
"14499","Benson, Trinity","WR","FA",276,0.697,-9.11166666666667,-5.157,14.89
"14267","Winfree, Juwann","WR","IND",277,0.677833333333333,-9.13083333333333,-5.17616666666667,14.87
"15467","Camp, Jalen","WR","CAR",278,0.6375,-9.17116666666667,-5.2165,14.83
"16120","Trammell, Austin","WR","LAR",279,0.623333333333333,-9.18533333333333,-5.23066666666667,14.81
"16005","Jones, Tim","WR","JAC",280,0.612666666666667,-9.196,-5.24133333333333,14.8
"15425","Harris, Jacob","WR","PHI",281,0.6,-9.20866666666667,-5.254,14.79
"15775","Sanders, Braylon","WR","MIA",282,0.567,-9.24166666666667,-5.287,14.76
"16096","Berryhill, Stanley","WR","FA",283,0.5,-9.30866666666667,-5.354,14.69
"15325","Johnson, Cade","WR","FA",284,0.455666666666667,-9.353,-5.39833333333333,14.65
"15993","McCutcheon, Lance","WR","NYJ",285,0.429333333333333,-9.37933333333333,-5.42466666666667,14.62
"15788","Tolbert, Jalen","WR","DAL",286,0.4,-9.40866666666667,-5.454,14.59
"15782","Gray, Danny","WR","SFO",287,0.316666666666667,-9.492,-5.53733333333333,14.51
"15304","Darby, Frank","WR","FA",288,0.31,-9.49866666666667,-5.544,14.5
"14321","Thompson, Cody","WR","FA",289,0.25,-9.55866666666667,-5.604,14.44
"15046","Merritt, Kirk","WR","FA",290,0.23,-9.57866666666667,-5.624,14.42
"16050","Webb, Raleigh","WR","TBB",291,0.177,-9.63166666666667,-5.677,14.37
"13312","Adams, Rodney","WR","FA",292,0,-9.80866666666667,-5.854,14.19
"13372","Gentry, Tanner","WR","FA",293,0,-9.80866666666667,-5.854,14.19
"14972","Coulter, Isaiah","WR","FA",295,0,-9.80866666666667,-5.854,14.19
"15316","Powell, Cornell","WR","FA",296,0,-9.80866666666667,-5.854,14.19
"15771","Martin, Tay","WR","SFO",297,0,-9.80866666666667,-5.854,14.19
"16001","Bernhardt, Jared","WR","FA",299,0,-9.80866666666667,-5.854,14.19
"16097","McGowan, Kyric","WR","FA",300,0,-9.80866666666667,-5.854,14.19
